wp_id,url1,url2,url3,permalink,resource_name_current,resource_name_edited,resource_id,resource_date_current,resource_date_edited,categories,resource_authors_current,resource_authors_edited,resource_affiliations_current,resource_affiliations_edited,resource_subject_current,resource_subject_edited,contest,contest_status,ready_for_update,notes,resource_date_checked,file_name,file_name_without_extension
82476,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/2786-09302013141716.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/3237.pdf,NA,NA,Digging into Nonprofits: IRS Form 990,NA,3237,1905-07-01,NA,"Resource, Tipsheet","Ronald Campbell - Better Watchdog Workshop (Salt Lake City, Utah)",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,3237.pdf,3237
82450,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/3212.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/3212_0.pdf,NA,NA,Visualization as a Reporting Tool,NA,3212,1905-07-01,NA,"Resource, Tipsheet",Sarah Cohen; Chase Davis - Indianapolis_CAR_2009,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,3212_0.pdf,3212_0
82461,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/3223.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/3223_1.pdf,NA,NA,Excel/Access User Defined Functions`,NA,3223,1905-07-01,NA,"Resource, Tipsheet",Phil Harbord - Indianapolis_CAR_2009,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,3223_1.pdf,3223_1
81977,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/T2734a.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/T2734b.pdf,NA,NA,Six tips to help you dig deeper,NA,2734,1905-06-28,NA,"Resource, Tipsheet",Matthew Waite;Megan Means - Ft_Worth_IRE_Annual_2006,NA,St. Petersburg Times;IRE and NICAR,NA,Investigating environmental issues,NA,NA,NA,FALSE,NA,FALSE,T2734b.pdf,T2734b
81811,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/2567.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/2567_0.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/T2567.pdf,NA,Simple Web scraping by using macros in Microsoft Excel,NA,2567,1905-06-27,NA,"Resource, Tipsheet",NA - Global_Investigative_Journalism_Conf_2005,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,T2567.pdf,T2567
84611,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5437.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5437_a.pdf,NA,NA,We need more career paths for news nerds,NA,5437,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5437_a.pdf,5437_a
84684,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/22_Harvest_Street__Writing_the_Multiplatform_Story.pptx,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5511.pdf,NA,NA,“22 Harvest Street” Writing the Multiplatform Story,NA,5511,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5511.pdf,5511
84690,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5517.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/IRE_Watchdog_Workshop_at_GWU_Interviewing_PowerPoint_2018.pptx,NA,NA,The Investigative Interview,NA,5517,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,IRE_Watchdog_Workshop_at_GWU_Interviewing_PowerPoint_2018.pptx,IRE_Watchdog_Workshop_at_GWU_Interviewing_PowerPoint_2018
84691,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5518.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/IRE_Watchdog_Workshop_FOIA_Presentation.pptx,NA,NA,The Federal Freedom of Information Act (FOIA) and YOU!,NA,5518,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,IRE_Watchdog_Workshop_FOIA_Presentation.pptx,IRE_Watchdog_Workshop_FOIA_Presentation
84697,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5524.pdf,https://www.ire.org/wp-content/uploads/protected-files/tipsheets/5524_a.pdf,NA,NA,Nailing the investigative interview,NA,5524,1905-07-10,NA,"Resource, Tipsheet",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,5524_a.pdf,5524_a
